category,sha256,original_path,duplicate_path,file_size_bytes
full_positive,7bd79e843ea156d71827f27da23b0e9b0f2f5d54687841483c7b46ebdb0e4018,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Positive\0d8b27ec_frame_000007.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Positive\92d4263c_frame_000013.jpg,146077
full_positive,dffbbafb0b4eb4ac2f6275c07e7879320a90a613db81fe4e8fcd205e0352324d,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Positive\0d8b27ec_frame_000008.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Positive\92d4263c_frame_000015.jpg,136628
full_positive,4a6ab97d86be7f808509f26a0ed3304797e7fba17c80c9692463506a5eb3149b,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Positive\0d8b27ec_frame_000056.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Positive\92d4263c_frame_000111.jpg,159176
full_positive,faf29c993b345cb432df80d3fe2ef49601e632f5809de477e7354092b3272459,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Positive\0d8b27ec_frame_000059.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Positive\92d4263c_frame_000117.jpg,158491
full_positive,c6c34efd18ebc3244c572621a2a744e1a4a70b6da9292ff85733318b1655d338,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Positive\0d8b27ec_frame_000062.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Positive\92d4263c_frame_000123.jpg,181036
full_positive,657911cd33ea44e6514e2f79efb9b0f8d27e1bc149dc27710f8109704550c8ac,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Positive\0d8b27ec_frame_000064.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Positive\92d4263c_frame_000127.jpg,188692
full_positive,bba70891610d553486699e37933b03da61579ad4952bdaa3d8ef19b92a85082f,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Positive\0d8b27ec_frame_000095.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Positive\92d4263c_frame_000189.jpg,266756
full_positive,a6fc6ca7ee9f22b1858720c29594ab9fb811815e5aac72f1abd14731402c3f6f,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Positive\0d8b27ec_frame_000098.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Positive\92d4263c_frame_000195.jpg,284381
full_positive,3e760c593ac92fc73960d751474855cd85d1ab759c758f6b1a8e02c047a01bb1,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Positive\0d8b27ec_frame_000100.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Positive\92d4263c_frame_000199.jpg,304005
full_positive,f9e036cea55a0ac94451a278c5f61607f49fb2f7341666a4c0e0f02bf45d431d,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Positive\0d8b27ec_frame_000107.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Positive\92d4263c_frame_000213.jpg,167075
