category,filename,full_path,width,height,mode,extension,file_size_bytes,sha256,perceptual_hash
full_positive,0d8b27ec_frame_000007.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Positive\0d8b27ec_frame_000007.jpg,640,640,RGB,.jpg,146077,7bd79e843ea156d71827f27da23b0e9b0f2f5d54687841483c7b46ebdb0e4018,c2a388e11ba73ed3
full_positive,0d8b27ec_frame_000008.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Positive\0d8b27ec_frame_000008.jpg,640,640,RGB,.jpg,136628,dffbbafb0b4eb4ac2f6275c07e7879320a90a613db81fe4e8fcd205e0352324d,ca358ea9d6c22dd2
full_positive,0d8b27ec_frame_000056.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Positive\0d8b27ec_frame_000056.jpg,640,640,RGB,.jpg,159176,4a6ab97d86be7f808509f26a0ed3304797e7fba17c80c9692463506a5eb3149b,8ce18c60de8a7a9f
full_positive,0d8b27ec_frame_000059.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Positive\0d8b27ec_frame_000059.jpg,640,640,RGB,.jpg,158491,faf29c993b345cb432df80d3fe2ef49601e632f5809de477e7354092b3272459,87618128fe9a7c9b
full_positive,0d8b27ec_frame_000062.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Positive\0d8b27ec_frame_000062.jpg,640,640,RGB,.jpg,181036,c6c34efd18ebc3244c572621a2a744e1a4a70b6da9292ff85733318b1655d338,82719f6273d224db
full_positive,0d8b27ec_frame_000064.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Positive\0d8b27ec_frame_000064.jpg,640,640,RGB,.jpg,188692,657911cd33ea44e6514e2f79efb9b0f8d27e1bc149dc27710f8109704550c8ac,ce3f7ea013c5608b
full_positive,0d8b27ec_frame_000095.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Positive\0d8b27ec_frame_000095.jpg,640,640,RGB,.jpg,266756,bba70891610d553486699e37933b03da61579ad4952bdaa3d8ef19b92a85082f,f1d16507334d659a
full_positive,0d8b27ec_frame_000098.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Positive\0d8b27ec_frame_000098.jpg,640,640,RGB,.jpg,284381,a6fc6ca7ee9f22b1858720c29594ab9fb811815e5aac72f1abd14731402c3f6f,f399cc6f13c16183
full_positive,0d8b27ec_frame_000100.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Positive\0d8b27ec_frame_000100.jpg,640,640,RGB,.jpg,304005,3e760c593ac92fc73960d751474855cd85d1ab759c758f6b1a8e02c047a01bb1,a495d358b5ca698e
full_positive,0d8b27ec_frame_000107.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Positive\0d8b27ec_frame_000107.jpg,640,640,RGB,.jpg,167075,f9e036cea55a0ac94451a278c5f61607f49fb2f7341666a4c0e0f02bf45d431d,c63bc53dea8c5099
full_positive,0d8b27ec_frame_000128.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Positive\0d8b27ec_frame_000128.jpg,640,640,RGB,.jpg,245536,06be204d068cb715ca4d9b9eef48171d0085da8deb3411207208714358e74d1d,feb697032b29708c
full_positive,0d8b27ec_frame_000131.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Positive\0d8b27ec_frame_000131.jpg,640,640,RGB,.jpg,256514,9945b232f89ba4516f6ce1f8d172c1b99aae731032dd54af1a18b3436bfd4fef,e9b58c2e3b21239e
full_positive,0d8b27ec_frame_000135.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Positive\0d8b27ec_frame_000135.jpg,640,640,RGB,.jpg,263153,1f6da01c178fed165225135226dd4e0ed75284964595f9ff1a0646de2f88620a,eef4883e6aa3238c
full_positive,0d8b27ec_frame_000140.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Positive\0d8b27ec_frame_000140.jpg,640,640,RGB,.jpg,263903,ea93b93c95af44905ac1117aeef27a5a2e2cf064ddf91aea273031645acb5559,eef4883e6b83219c
full_positive,0d8b27ec_frame_000143.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Positive\0d8b27ec_frame_000143.jpg,640,640,RGB,.jpg,260594,77b3caad84fd99a467f31fe3aa5319e6e390464a2452f251d4bfc0d6ed54df91,eeb0882e6ba322fc
full_positive,0d8b27ec_frame_000148.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Positive\0d8b27ec_frame_000148.jpg,640,640,RGB,.jpg,261579,f1127353debfd5a626930364ceb4bf5b1b3afa85e67daf62146593c47cc2c8d7,fef4883e6a83228d
full_positive,0d8b27ec_frame_000160.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Positive\0d8b27ec_frame_000160.jpg,640,640,RGB,.jpg,287429,26c1b959653074da9df8f71f7a9e80420cebc772eb71b89ecc897c2762c2e910,e709871ee17e6944
full_positive,0d8b27ec_frame_000264.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Positive\0d8b27ec_frame_000264.jpg,640,640,RGB,.jpg,204071,04fc62a7c20b8d8e3bc63e8f8786663431c7aac6db0d91c5a62f09c7158c0687,e3690c39b74f1cd0
full_positive,0d8b27ec_frame_000273.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Positive\0d8b27ec_frame_000273.jpg,640,640,RGB,.jpg,218211,c9514ff7f7e6c83e31901a6f8d7830fc2b18461a17332e109b89bbb1366f2a74,8e1949d6b3b56899
full_positive,0d8b27ec_frame_000299.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Positive\0d8b27ec_frame_000299.jpg,640,640,RGB,.jpg,199308,08bf1a7c3dc97c8423a05a477383483484e46963c8df1b5335c70ab89189c64e,f521296e089e76d9
full_positive,0d8b27ec_frame_000301.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Positive\0d8b27ec_frame_000301.jpg,640,640,RGB,.jpg,195475,980ccc0359a0eaeee39f66128c7ecf13b004f6f0cb4c24d3252d22b6809935c8,f520296f089e76d9
full_positive,0d8b27ec_frame_000312.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Positive\0d8b27ec_frame_000312.jpg,640,640,RGB,.jpg,187826,6f3fdba5046f938d8492958ce5717e28e8cdf8b1b7fc02db460f27a630ce9339,a77b0e93b8e54318
full_positive,0d8b27ec_frame_000318.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Positive\0d8b27ec_frame_000318.jpg,640,640,RGB,.jpg,161066,76d095015569a8e2b3f0d8ed354d0077941c44921fb4d33e9c6aa45e22133c89,a6781fb768c0331d
full_positive,0d8b27ec_frame_000324.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Positive\0d8b27ec_frame_000324.jpg,640,640,RGB,.jpg,164948,e851bff4c7808920191cd6b1141d7a2b33493b662a8aa76c7549455c7ce50e45,a25e1fb3e850331d
full_positive,0d8b27ec_frame_000331.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Positive\0d8b27ec_frame_000331.jpg,640,640,RGB,.jpg,173746,a822203763d71671837aec522121fc612d775b6dd22af29edfa3197c5aea60f2,86781e87e178c739
full_positive,0d8b27ec_frame_000343.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Positive\0d8b27ec_frame_000343.jpg,640,640,RGB,.jpg,215073,4457bffca1adda3b2b7fb9143edae50aea205e773972fd17943a353f9cee73d1,e3c0c29b911e3b3d
full_positive,0d8b27ec_frame_000347.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Positive\0d8b27ec_frame_000347.jpg,640,640,RGB,.jpg,220336,e5204310cf9e76dae834bab94aae095381de570c0b7c73e182873c1facf7137c,cb998c9ef9403077
full_positive,0d8b27ec_frame_000448.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Positive\0d8b27ec_frame_000448.jpg,640,640,RGB,.jpg,173572,ca7d7276ba9fd578be4736ac0c52080f8a037b2f98d982af390ac62d9d06b9b0,9eebe4c226251b2b
full_positive,0d8b27ec_frame_000449.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Positive\0d8b27ec_frame_000449.jpg,640,640,RGB,.jpg,162415,9425c318d46dbba833b7554265918f774e22d0d410eb7e12bb09d63db7a31d28,c09b7b89a60e2d9b
full_positive,0d8b27ec_frame_000450.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Positive\0d8b27ec_frame_000450.jpg,640,640,RGB,.jpg,137934,229319f4afd9a86cfad2bb7dec9469e4c63ded475f84face620a2f11958da90d,c9cd6c05761e54b9
full_positive,0d8b27ec_frame_000451.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Positive\0d8b27ec_frame_000451.jpg,640,640,RGB,.jpg,135598,7e1b2005f6a5b2eb5c1db6223807d592de3f71647457a3eca2ada3bb8c63d16a,8b03553d7c22d5f1
full_positive,0d8b27ec_frame_000452.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Positive\0d8b27ec_frame_000452.jpg,640,640,RGB,.jpg,145833,00e25a711f085330cd438038317140f1c5be2db3dbc0233b0099826fa1dcfada,c9c3c4c7e690e3e1
full_positive,0d8b27ec_frame_000453.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Positive\0d8b27ec_frame_000453.jpg,640,640,RGB,.jpg,154318,6936d6390fd0d28becf3d71d57129c477bcdc8782b394c8dccc239bd6099494d,9d7981b56c4ec256
full_positive,0d8b27ec_frame_000473.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Positive\0d8b27ec_frame_000473.jpg,640,640,RGB,.jpg,152047,f86b29edf2db6356b40260bbfc4e028aa65dd5cf470590d872f87953a0a3bd58,8ef184e0ef826cda
full_positive,0d8b27ec_frame_000474.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Positive\0d8b27ec_frame_000474.jpg,640,640,RGB,.jpg,143608,b0c351f2bbc6313716c71b259c5af7500d2645d905e5e4e7188cd27836c32067,92f19c66e1836d9a
full_positive,0d8b27ec_frame_000477.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Positive\0d8b27ec_frame_000477.jpg,640,640,RGB,.jpg,184549,6bf52e2b8dd09de779b1547f1f6600774516bc9edacb5503c1abe8f598a84c77,ce1f7c9033cc608f
full_positive,0d8b27ec_frame_000545.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Positive\0d8b27ec_frame_000545.jpg,640,640,RGB,.jpg,154194,d052e8aa17cd5dafb4619fd8472d90d547765254e4611f7cc1086c09f78f441c,fcec039b66586968
full_positive,0d8b27ec_frame_000546.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Positive\0d8b27ec_frame_000546.jpg,640,640,RGB,.jpg,145923,09edef8eca3d2c3c0b8354526402c0d1323ae6fb5e61f26d06c9c015076513c5,82b342cef2f9319a
full_positive,0d8b27ec_frame_000547.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Positive\0d8b27ec_frame_000547.jpg,640,640,RGB,.jpg,160373,87b5ff43484cee291743c01413f0898e5461eb1044f9dc12ed7102ec521c3433,c8b31fc8238cf173
full_positive,0d8b27ec_frame_000548.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Positive\0d8b27ec_frame_000548.jpg,640,640,RGB,.jpg,139198,89b5c76cc4462d3c810a678785241532a93cf01e3a3c56ac08c17b5264b4907d,90b51dc86a4e4f67
full_positive,0d8b27ec_frame_000549.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Positive\0d8b27ec_frame_000549.jpg,640,640,RGB,.jpg,176814,f57067ee3b92af9f978117c64fad51e8fcd6101b92e80e968be34e015a347cda,9cf4158d63769866
